day,burned,cheat,fasting,weight
1,0,0,0,86.55
2,0,0,0,86.45
3,42,0,0,86.6
4,48,0,0,86.4
5,89,0,0,86.5
6,100,0,0,86.55
7,0,0,0,86.5
8,87,0,0,86.45
9,0,0,0,85.75
10,0,0,0,86.1
11,0,0,1,86.2
12,0,0,1,86.45
13,0,0,1,86.75
14,0,0,1,85.75
15,0,0,1,85.55
16,0,0,1,85.65
17,0,0,1,85.55
18,0,0,1,85.25
19,0,0,1,85.15
20,0,1,1,85.8
21,0,0,1,85.4
22,0,0,1,85.7
23,0,0,1,85.1
24,0,1,1,85.5
25,0,0,1,84.3
26,0,0,1,84.15
27,0,0,1,84.1
28,0,0,1,84.05
29,0,0,1,83.95
30,0,1,1,84.6
31,0,1,1,84.5
32,0,1,1,84.55
33,0,0,1,84.7
